elan_filename,participant,vowel,sound_start,sound_end,word,keyword,utterance,Addressee,F1_20,F1_35,F1_50,F1_65,F1_80,F2_20,F2_35,F2_50,F2_65,F2_80,praat_filename,X16,fol.word,sound_start.elan,sound_end.elan,utterance.elan,word.elan,vowel.elan,fol.phonOLOG.seg,fol.PHONETIC.seg,prec.phonOLOG.seg,prec.PHONETIC.seg,lex.stress,,participant.elan,mismatch,meanF1,meanF2,meanFleeceF1,meanFleeceF2,meanTRAPF1,u_F1,u_F2,trapF2,S_F1,S_F2,normF1_20,normF1_35,normF1_50,normF1_65,normF1_80,normF2_20,normF2_35,normF2_50,normF2_65,normF2_80,duration,changeF1,normChangeF1,changeF2,normChangeF2,VL,normVL,normVSL1,normVSL2,normVSL3,normVSL4,VSL1,VSL2,VSL3,VSL4,TrajLength,norm_TL,sex,age,roland.rolling,tauto.l,breaking.word,prec.seg,syl.type
F1_diapix_ind_fac2,F1,goat,462.822,462.97,NO,n,no,child,506.77,502.34,496.79,484,487.21,1877.68,1861.52,1855.01,1819.7,1701.55,F1_diapix_corrected,NA,sp,462.822,462.97,no,NO,goat,0,0,n,n,1,,F1,69,495.4220000000000,1823.0920000000000,435.9038461538460,3442.9476307692300,1003.6989833333300,435.9038461538460,435.9038461538460,1939.4257384615400,625.1688918803420,1939.4257384615400,0.8106129504873000,0.8035268653388920,0.7946492643064620,0.7741907927380340,0.7793254052270610,0.9681628756198120,0.9598305122405270,0.9564738485277080,0.9382674282973520,0.877347333417244,0.14800000000002500,-19.560000000000000,-0.03128754526023960,-176.1300000000000,-0.09081554220256780,177.21278311679400,0.09605401185769350,0.010938047458981900,0.009490995278259920,0.027386544077713300,0.06113609576685300,16.756207804870500,8.554682928080930,37.55502895751780,118.19359796537200,181.05951765584100,0.10895168258180800,F,child,not.rolling,ok,ok,nasal,final.open
F1_diapix_ind_fac2,F1,goat,475.411,475.587,NO,n,no,child,558.22,573.16,589.13,612.5,611.6,2421.18,2221.9,2221.5,2463.98,2261.23,F1_diapix_corrected,NA,sp,475.411,475.587,no,NO,goat,0,0,n,n,1,,F1,69,588.922,2317.9580000000000,435.9038461538460,3442.9476307692300,1003.6989833333300,435.9038461538460,435.9038461538460,1939.4257384615400,625.1688918803420,1939.4257384615400,0.8929107114095560,0.9168082536482050,0.9423533506730530,0.9797352490744750,0.9782956380962430,1.248400468233770,1.1456484029971300,1.1454421563788400,1.2704688563917700,1.1659276017414000,0.17599999999998800,53.380000000000000,0.0853849266866864,-159.95000000000000,-0.08247286649236750,168.6221423775650,0.11871124383460300,0.10549445215479700,0.02554592961073170,0.13049552499691000,0.10455116643846300,199.83924039087000,15.97500860719650,243.60358638575100,202.7519975240690,662.1698329078860,0.3660870732009020,F,child,not.rolling,ok,ok,nasal,final.open
F1_diapix_ind_fac2,F1,fleece,488.872,489.224,BEE,keyword,((uf)) I got a bee,child,366.2,365.5,427.23,456.06,405.78,4363.9,4444.746,4168.67,4087.58,4120.81,F1_diapix_corrected,NA,sp,488.872,489.224,((uf)) I got a bee,BEE,fleece,NA,NA,NA,NA,NA,,F1,2469,404.154,4237.1412,435.9038461538460,3442.9476307692300,1003.6989833333300,435.9038461538460,435.9038461538460,1939.4257384615400,625.1688918803420,1939.4257384615400,0.5857617113650160,0.5846420139375030,0.683383331366674,0.7294988697027020,0.6490726030521470,2.2500990439890200,2.291784579246550,2.149435225762670,2.1076238800679700,2.1247578178831700,0.35199999999997500,39.580000000000000,0.06331089168713090,-243.08999999999900,-0.12534122610584300,246.29113768059100,0.1404232600673250,0.04170057040420430,0.1732431418698230,0.0622481445893991,0.0822311145029743,80.84903039616540,282.8931789138790,86.06251797385450,60.268659351275100,510.073386635174,0.35942297136640000,F,child,n.a.,ok,ok,other,other
F1_diapix_ind_fac2,F1,lot,501.03,501.175,DOG,keyword,top of the dog is top of the dog,child,683.99,798.57,790.55,745.42,670.98,1737.97,1502.02,1331.66,1402.39,1477.41,F1_diapix_corrected,NA,IS,501.03,501.175,"top of the dog, is top of the dog",DOG,lot,NA,NA,NA,NA,NA,,F1,0,737.9020000000000,1490.29,435.9038461538460,3442.9476307692300,1003.6989833333300,435.9038461538460,435.9038461538460,1939.4257384615400,625.1688918803420,1939.4257384615400,1.0940883477786900,1.277366820985150,1.2645382876013500,1.1923497948817900,1.0732779713044700,0.8961260880133810,0.7744663640441770,0.6866259293105740,0.7230954875913190,0.7617770408533220,0.14500000000003900,-13.010000000000000,-0.020810376474218700,-260.56000000000000,-0.13434904716005800,260.88459843386700,0.13595123479326800,0.21998201557661900,0.08877225491654240,0.08087772970549280,0.12519729123582400,262.2994069760740,170.54867340439800,83.9014290700701,105.68497528031100,622.434484730853,0.5148292914344790,F,child,n.a.,ok,ok,other,other
F1_diapix_ind_fac2,F1,lot,501.495,501.554,TOP,keyword,top of the dog is top of the dog,child,559.08,529.06,549.38,561,567.64,1644.1,1611.82,1511.38,1475.9,1367.59,F1_diapix_corrected,NA,OF,501.495,501.554,"top of the dog, is top of the dog",TOP,lot,NA,NA,NA,NA,NA,,F1,0,553.232,1522.1580000000000,435.9038461538460,3442.9476307692300,1003.6989833333300,435.9038461538460,435.9038461538460,1939.4257384615400,625.1688918803420,1939.4257384615400,0.8942863396776450,0.8462673157148430,0.8787705324678120,0.8973575097645390,0.9079786396483830,0.8477251628640300,0.83108106076729,0.7792925349123770,0.7609984598692430,0.7051520317992940,0.05899999999996910,8.559999999999950,0.01369229997073870,-276.51,-0.14257313106473600,276.642465467614,0.14322910591109300,0.05082177483074360,0.06114336030605050,0.026079664620405900,0.05684744434168940,44.081728641241000,102.4748554524470,37.33436486670160,108.51334341913900,292.404292379529,0.19489224409888900,F,child,n.a.,ok,ok,other,other
F1_diapix_ind_fac2,F1,goat,512.698,512.826,NO,n,no I don't got a spider,child,539.38,533.93,551.29,573.83,630.39,2106.79,2066.05,1983.11,1838.88,1884.12,F1_diapix_corrected,NA,sp,512.698,512.826,"no, I don't got a spider",NO,goat,aɪ,aɪ,n,n,1,,F1,0,565.7640000000000,1975.7900000000000,435.9038461538460,3442.9476307692300,1003.6989833333300,435.9038461538460,435.9038461538460,1939.4257384615400,625.1688918803420,1939.4257384615400,0.8627748549319020,0.8540572106748310,0.8818257068771710,0.9178799640431120,1.008351516186220,1.0862957824161000,1.0652895643423300,1.022524328038010,0.9481569536447960,0.971483446174428,0.12800000000004300,91.01000000000000,0.145576661254315,-222.67000000000000,-0.11481233624167200,240.55092807969000,0.18540344348265100,0.022743318121054800,0.05098975208318050,0.0826463298273303,0.09343033233868790,41.102920820788200,84.73731881526610,145.98063056446900,72.42714408286420,344.24801428338700,0.24980973237025400,F,child,not.rolling,ok,ok,nasal,final.open
F1_diapix_ind_fac2,F1,goat,513.082,513.158,DON'T,n,no I don't got a spider,child,602.91,601.11,581.63,539.91,534.93,2325.14,2091.19,1908.86,1743.31,1680.47,F1_diapix_corrected,NA,GOT,513.082,513.158,"no, I don't got a spider",DON'T,goat,nt,n,d,d,1,,F1,0,572.098,1949.7940000000000,435.9038461538460,3442.9476307692300,1003.6989833333300,435.9038461538460,435.9038461538460,1939.4257384615400,625.1688918803420,1939.4257384615400,0.964395394317537,0.9615161723610730,0.930356592521121,0.8636226258413050,0.8556567784284220,1.198880655180140,1.078252164302430,0.9842397995162300,0.8988794803676740,0.8664781366328800,0.07600000000002180,-67.98000000000000,-0.10873861588911500,-644.6700000000000,-0.33240251854726300,648.2443129715830,0.3497363591650770,0.12066284734957900,0.09904162836149630,0.10835038714266800,0.03336617749796410,233.95692445405400,183.36766154368700,170.7259819125370,63.03702086869260,651.0875887789710,0.36142104035170700,F,child,not.rolling,ok,ok,coronal,coda.nasal
F1_diapix_ind_fac2,F1,price,513.678,513.81,SPIDER,keyword,no I don't got a spider,child,716.26,702.22,569.04,517.44,508.56,2157.68,2628,2993.834,3157.85,3163.52,F1_diapix_corrected,NA,sp,513.678,513.81,"no, I don't got a spider",SPIDER,price,d,d,sp,p,1,,F1,0,602.704,2820.1768,435.9038461538460,3442.9476307692300,1003.6989833333300,435.9038461538460,435.9038461538460,1939.4257384615400,625.1688918803420,1939.4257384615400,1.1457063991870700,1.1232484679266600,0.9102180345034110,0.8276803384181160,0.8134761767662280,1.1125355084292100,1.3550402822253300,1.543670345622450,1.6282397089898300,1.6311632548042200,0.13199999999994800,-207.7,-0.3322302224208460,1005.8400000000000,0.5186277463750120,1027.0605608239500,0.6159153026186540,0.2435424480258170,0.28454044770769700,0.1181712676391010,0.01450190774904480,470.5295144834170,389.3217537667270,171.94129305085500,10.535810362758100,1042.328371663760,0.6607560711216600,F,child,n.a.,ok,ok,labial,medial.open
F1_diapix_ind_fac2,F1,trap,525.587,525.639,BLACK,keyword,the black one's ((is)) on the bush,child,757.26,774.53,812.81,763.3,753.07,2031.7,2063.67,2135.93,2228.01,2346.02,F1_diapix_corrected,NA,ONE'S,525.587,525.639,the black one's ((is)) on the bush,BLACK,trap,NA,NA,NA,NA,NA,,F1,2486,772.194,2161.066,435.9038461538460,3442.9476307692300,1003.6989833333300,435.9038461538460,435.9038461538460,1939.4257384615400,625.1688918803420,1939.4257384615400,1.2112886770843000,1.2389132121888200,1.3001446657962800,1.220950066315990,1.2045864881967600,1.0475781359958900,1.0640623969634500,1.1013208485591900,1.1487988200916500,1.2096467286553600,0.05200000000002090,-4.189999999999940,-0.0067021888875460300,314.32000000000000,0.16206859265946200,314.34792587195500,0.16220711470987700,0.032169019248140300,0.07167623822575300,0.09233602962917940,0.06300979817013450,36.33639773009980,81.77325968799310,104.54648009378400,118.45257700869100,341.1087145205690,0.2591910852732070,F,child,n.a.,ok,ok,other,other
F1_diapix_ind_fac2,F1,foot,526.485,526.561,BUSH,keyword,the black one's ((is)) on the bush,child,536.24,543.07,547.69,530.82,535.46,2102.81,2203.03,2151.49,2144.22,2266.04,F1_diapix_corrected,NA,sp,526.485,526.561,the black one's ((is)) on the bush,BUSH,foot,NA,NA,NA,NA,NA,,F1,2486,538.6560000000000,2173.518,435.9038461538460,3442.9476307692300,1003.6989833333300,435.9038461538460,435.9038461538460,1939.4257384615400,625.1688918803420,1939.4257384615400,0.8577522121856270,0.8686772599426530,0.8760672629642430,0.8490825549611640,0.8565045493378260,1.084243628564020,1.135918718778870,1.1093438420110300,1.105595309723440,1.1684077173264400,0.07600000000002180,-0.7799999999999730,-0.0012476628478008700,163.23000000000000,0.08416408876242070,163.231863617371,0.08417333603814460,0.05281734201193860,0.02758325977627050,0.02724382426023490,0.06324938378682390,100.45246288668100,51.746652065617200,18.369806749119600,121.90833441565900,292.4772561170770,0.17089380983526800,F,child,n.a.,ok,ok,other,other
