participant,vowel,sound_start,sound_end,task,word,utterance,F1_20,F1_35,F1_50,F1_65,F1_80,F2_20,F2_35,F2_50,F2_65,F2_80,fol.phonOLOG.seg,fol.PHONETIC.seg,prec.phonOLOG.seg,prec.PHONETIC.seg,normF1_20,normF1_35,normF1_50,normF1_65,normF1_80,normF2_20,normF2_35,normF2_50,normF2_65,normF2_80,duration,changeF1,normChangeF1,changeF2,normChangeF2,TrajLength,norm_TL,sex,age,roland.rolling,tauto.l,breaking.word,prec.seg,syl.type,outcode,CofP
Ali,goat,466.865,466.943,interview,SHOW,they have to show their faces quite often,421.58,483.54,482.93,459.1,523.23,1985.22,1875,1903.2,1874.38,1839.99,ð,d,sh,ʃ,0.868450434589149,0.996087393000705,0.994830799317182,0.945741246074003,1.07784838201547,1.58615764611847,1.49809370572134,1.52062503505539,1.49759833606932,1.47012130004811,0.0779999999999745,101.65,0.209397947426318,-145.23,-0.116036346070352,264.813261099185,0.366791776119345,M,adolescent,not.rolling,ok,ok,coronal,final.open,2,youthclub
Ali,goat,632.266,632.373,interview,NO,no,483.12,498.99,475.68,460,429.68,1318.74,1304.75,1228.59,1154.73,1127.58,0,0,n,n,0.995222197349755,1.02791423301779,0.979895874390071,0.94759523675461,0.885136350714611,1.05365124985758,1.04247347335463,0.981622904486499,0.922609997230724,0.900917600371879,0.107000000000085,-53.44,-0.110085846635144,-191.16,-0.152733649485702,217.008613823709,0.245458097501472,M,adolescent,not.rolling,ok,ok,nasal,final.open,2,youthclub
Ali,goat,1152.819,1153.031,interview,Y'KNOW,y'know y'know,518.41,533.24,422.9,444.29,447.99,1556.17,1518.77,1449.44,1471.66,1434.97,0,0,jn,n,1.06791923192599,1.09846887836311,0.871169620920706,0.915232799429795,0.922854761116734,1.24335385708394,1.21347188130048,1.15807836843773,1.17583177757967,1.14651707994611,0.211999999999989,-70.42,-0.14506447080926,-121.2,-0.0968367771378278,238.264867456242,0.354480510300077,M,adolescent,not.rolling,ok,ok,nasal,final.open,2,youthclub
Ali,goat,1184.099,1184.244,interview,FROZEN,what's it called frozen chips in it,454.07,453.83,462.4,439.92,396.27,1571.34,1637.63,1679.64,1766.71,1810.14,z,z,fr,ɹ,0.935379498159056,0.934885100644228,0.952539211902895,0.906230644680626,0.816312096671194,1.25547443389236,1.30843903749357,1.34200432633483,1.41157180311198,1.44627164825303,0.144999999999982,-57.8,-0.119067401487862,238.8,0.19079721436067,260.665880412816,0.270844479304183,M,adolescent,not.rolling,ok,ok,approx.glide,medial.open,2,youthclub
Ali,goat,1187.456,1187.576,interview,NO,s- no explosion,603.34,662.37,561.77,514.56,572.41,1529.09,1568.1,1486.51,1442.11,1477.43,ɛ,ɛ,n,n,1.24287415248593,1.36447534123728,1.15724038293834,1.05998827179229,1.1791586727624,1.22171738905677,1.25288572796887,1.18769667972898,1.1522218207775,1.18044191127674,0.120000000000118,-30.9300000000001,-0.0637154797235222,-51.6599999999999,-0.0412754777800344,332.871024413102,0.568764774680588,M,adolescent,not.rolling,ok,ok,nasal,final.open,2,youthclub
Ali,goat,1197.656,1197.746,interview,NO,no,507.51,461.95,476.57,486.96,465.32,1110.54,1049.5,963.19,881.28,906.56,0,0,n,n,1.0454653447942,0.951612216562591,0.981729265174227,1.00313255758701,0.958554381666642,0.887302924774283,0.838532983549093,0.769572734087329,0.704128011188323,0.724326309257995,0.0900000000001455,-42.19,-0.0869109631275586,-203.98,-0.162976615516288,279.551160481982,0.298814522278172,M,adolescent,not.rolling,ok,ok,nasal,final.open,2,youthclub
Ali,goat,1288.934,1289.04,interview,NOPE,nope,586.56,551.59,515.68,458.07,425.35,1102.93,1084.77,960.4,881.09,930.51,p,p,n,n,1.20830752624083,1.13626968835103,1.06229546019482,0.943619456739531,0.876216595551246,0.881222661787329,0.866713124882849,0.767343570653215,0.703976204359477,0.743461959525743,0.105999999999995,-161.21,-0.332090930689588,-172.42,-0.137760702261586,326.150079062563,0.410016608691425,M,adolescent,not.rolling,ok,ok,nasal,closed,2,youthclub
Ali,goat,1510.921,1511.075,interview,SO,so they got changed to get armed,435.31,465.75,399.77,450.32,450.46,1535.39,1548.43,1527.73,1539.16,1509.8,ð,d,s,s,0.896734092416629,0.959440177214043,0.82352206042911,0.927654536989861,0.927942935540177,1.226750983908,1.23716972626672,1.22063077175556,1.22976315098563,1.20630500101231,0.153999999999996,15.15,0.0312088431235485,-25.5900000000001,-0.0204459828956851,183.452867980109,0.328478500938553,M,adolescent,not.rolling,ok,ok,coronal,final.open,2,youthclub
Ali,goat,1584.62,1584.783,interview,AGO,it never used to be illegal then two years ago they changed it and made it illegal,534.46,556.27,526.67,517.49,465.5,1306.44,1260.47,1276.45,1268.48,1267.6,0,0,g,g,1.10098206573015,1.14591043989019,1.08493474639467,1.06602404145249,0.958925179802763,1.04382375514805,1.00709449240031,1.01986224568961,1.01349434871115,1.0127912433986,0.163000000000011,-68.96,-0.142056885927387,-38.8400000000001,-0.031032511749449,148.673954756814,0.247384323306319,M,adolescent,not.rolling,ok,ok,velar,final.open,2,youthclub
Ali,goat,1702.38,1702.479,interview,DON'T,but you don't swallow it you keep it in your chin,543.08,550.77,582.06,596.48,575.48,1485.64,1453.8,1417.83,1411.95,1422.81,nt,ʔ,d,d,1.11873917647107,1.13458049684204,1.1990375728378,1.22874262352041,1.18548284097292,1.18700156424952,1.1615619356681,1.13282250601754,1.1281244841564,1.13680144289994,0.0989999999999327,32.4,0.0667436645018464,-62.8300000000002,-0.0502001213495851,119.645138697905,0.174738214818183,M,adolescent,not.rolling,ok,ok,coronal,coda.nasal,2,youthclub
Ali,goat,1777.854,1777.996,interview,GO,and he would -- and there I would -- he would -- I would go with my cousin and drive it around,490.3,486.53,507.16,535.99,546.88,1460.25,1466.99,1522,1488.48,1462.22,w,w,g,g,1.01001292300171,1.00224676203961,1.04474434841841,1.10413384988718,1.12656713712252,1.16671537801578,1.17210052552328,1.21605259739087,1.18927067684912,1.16828937513593,0.142000000000053,56.58,0.116554214120817,1.97000000000003,0.00157399712014472,139.115032367272,0.166453202712308,M,adolescent,not.rolling,ok,ok,velar,final.open,2,youthclub
Ali,goat,1796.928,1796.998,interview,ROADS,me I was in the normal roads,574.62,521.94,536.76,484.3,440.8,1467.11,1302.31,1448.64,1402.03,1463.49,dz,d,r,ɹ,1.18371124987812,1.07519099537326,1.10572004191392,0.997652985130995,0.908043435568331,1.17219640352045,1.04052395407891,1.15743918178996,1.120198569724,1.16930408393927,0.0699999999999363,-133.82,-0.275667814309787,-3.61999999999989,-0.00289231958117919,465.565365098448,0.507950539859492,M,adolescent,not.rolling,ok,ok,approx.glide,closed,2,youthclub
Ali,goat,1853.278,1853.357,interview,AGO,and my -- and my mum's dad he passed away ages ago,501.34,527.86,505.43,550.83,514.92,1425.82,1607.45,1400.42,1371.25,1332.18,0,0,g,g,1.03275520868382,1.08738613407237,1.04118056633235,1.13470409622074,1.06072986806453,1.13920638266219,1.28432572120628,1.11891220659535,1.09560586345088,1.06438958554019,0.0789999999999509,13.58,0.0279746593807122,-93.6399999999999,-0.074816797121998,498.826739316046,0.503482277811167,M,adolescent,not.rolling,ok,ok,velar,final.open,2,youthclub
Ali,goat,1854.764,1855.188,interview,SO,so,549.74,553.94,493.61,544.47,440.4,1346.92,1437.84,1401.56,1403.56,1397.17,0,0,s,s,1.13245870750756,1.14111066401706,1.01683148872705,1.12160256207779,0.907219439710283,1.07616659952544,1.148810162045,1.11982304756843,1.12142101418787,1.11631551083877,0.424000000000206,-109.34,-0.225239267797281,50.25,0.040148911313332,316.580746014783,0.519999058319448,M,adolescent,not.rolling,ok,ok,coronal,final.open,2,youthclub
Ali,goat,1856.281,1856.569,interview,SO,((just)) so,487.37,473.92,430.62,402.79,378.93,1546.09,1563.91,1619.57,1707.76,1715.37,0,0,s,s,1.00397715334151,0.976270292614663,0.887072740981022,0.829743229157368,0.780591876224836,1.23530010532198,1.24953798790116,1.29400939892006,1.3644717370041,1.37055199999105,0.288000000000011,-108.44,-0.223385277116674,169.28,0.135251894669072,210.366214898041,0.271184441752703,M,adolescent,not.rolling,ok,ok,coronal,final.open,2,youthclub
Ali,goat,1857.296,1857.351,interview,GOES,she goes America this summer going America with my mum and my brother,447.29,455.78,470.16,462.9,438.97,1472.16,1458.68,1467.81,1503.89,1621.93,z,z,g,g,0.921412768365151,0.938902080452209,0.968524731549016,0.953569206725454,0.904273654517763,1.17623126923452,1.16546097421953,1.17275569183725,1.20158300965188,1.295894999531,0.0550000000000637,-8.31999999999999,-0.0171391138473876,149.77,0.119663730296472,190.208733229173,0.189941139375521,M,adolescent,not.rolling,ok,ok,velar,closed,2,youthclub
Ali,goat,2002.874,2003.001,interview,NO,that's no c- cos [F] walla((hi)) was cry -- he was stressing was so deep,532.96,528.47,540.31,512.15,522.84,1575.11,1494.84,1482.2,1255.19,1134.46,k,k,n,n,1.09789208126247,1.08864272775589,1.11303300515409,1.05502369674755,1.07704498605387,1.25848660097,1.19435221069893,1.18425306166409,1.002875860525,0.906414605542739,0.126999999999953,-10.12,-0.0208470952086015,-440.65,-0.352071995427259,447.666960391228,0.380567201737402,M,adolescent,not.rolling,ok,ok,nasal,final.open,2,youthclub
Ali,goat,2006.578,2006.686,interview,SO,that's no c- cos [F] walla((hi)) was cry -- he was stressing was so deep,427.02,412.56,426.6,404.38,373.4,1274.84,1230.62,1149.99,1157.84,1238.6,d,d,s,s,0.879656778258595,0.849869327990178,0.878791582607645,0.833018612693107,0.769200133487329,1.01857588256096,0.983244840605227,0.91882281634266,0.925094835323947,0.989620727416777,0.107999999999947,-53.62,-0.110456644771266,-36.24,-0.0289551551441821,238.431523688682,0.253784042443252,M,adolescent,not.rolling,ok,ok,coronal,final.open,2,youthclub
Ali,goat,2007.849,2007.96,interview,SO,so so they were -- the police ((were)) like is there anyone else inside,436.3,441.53,415.45,391.24,350.86,1739.7,1816.22,1854.01,1918.73,1938.72,?,?,s,s,0.898773482165296,0.909547228009267,0.855822698064571,0.805950348756247,0.722767966886353,1.38999126391649,1.45112946677612,1.48132304605036,1.53303324585531,1.54900492221658,0.111000000000104,-85.44,-0.176005515278943,199.02,0.159013658300086,236.771281773438,0.280251262356608,M,adolescent,not.rolling,ok,ok,coronal,final.open,2,youthclub
Ali,goat,2014.764,2014.874,interview,ONLY,and I said nah nah the th- -- I was like 's only -- cos another guy got er caught with me,488.51,472.8,522.18,519.19,444.21,1290.53,1272.53,1354.74,1462.8,1522.62,n,n,s,s,1.00632554153694,0.97396310421213,1.07568539288809,1.06952602384919,0.915068000258185,1.03111193069044,1.01673023111551,1.08241464900743,1.16875278545556,1.2165479670429,0.110000000000127,-44.3,-0.0912575412787592,232.09,0.185436036352462,323.812056885392,0.404741717162412,M,adolescent,not.rolling,ok,ok,coronal,coda.nasal,2,youthclub
Ali,goat,2017.866,2018.001,interview,ONLY,I was like it's only me no one else there and I was,539.69,529.23,445.57,464.09,422.81,1416.21,1474.97,1405.35,1530.88,1585.71,n,n,s,s,1.11175581157412,1.09020831988618,0.917869586175547,0.956020594403146,0.870984221852645,1.1315281530558,1.17847641233483,1.12285119431226,1.22314756918117,1.26695582405301,0.134999999999991,-116.88,-0.240771589721476,169.5,0.135427670997209,364.043729046517,0.435715015791373,M,adolescent,not.rolling,ok,ok,coronal,coda.nasal,2,youthclub
Ali,goat,2018.44,2018.557,interview,NO,I was like it's only me no one else there and I was,532.23,562.58,593.05,614.01,622.46,1390.07,1107.77,1032.21,949.51,839.4,w,w,n,n,1.09638828882154,1.15890897455089,1.22167685903766,1.26485424199934,1.2822611545006,1.11064272933977,0.885089741006364,0.824718562124068,0.758642642410386,0.670666590177331,0.116999999999962,90.23,0.185872865679062,-550.67,-0.439976139162439,561.14760207415,0.489760533101227,M,adolescent,not.rolling,ok,ok,nasal,final.open,2,youthclub
