participant,vowel,sound_start,sound_end,task,word,utterance,F1_20,F1_35,F1_50,F1_65,F1_80,F2_20,F2_35,F2_50,F2_65,F2_80,fol.phonOLOG.seg,fol.PHONETIC.seg,prec.phonOLOG.seg,prec.PHONETIC.seg,normF1_20,normF1_35,normF1_50,normF1_65,normF1_80,normF2_20,normF2_35,normF2_50,normF2_65,normF2_80,duration,changeF1,normChangeF1,changeF2,normChangeF2,TrajLength,norm_TL,sex,age,roland.rolling,tauto.l,breaking.word,prec.seg,syl.type,outcode,CofP
Ali,price,887.513,887.628,interview,LIKE,I ((feel)) like nineteen ninety something I don't know,755.34,807.61,761.75,778.28,711.25,1649.61,1616.32,1649.6,1668.51,1684.25,k,ʔ,l,l,1.55599257854397,1.66366823729433,1.56919711216918,1.603248741003,1.46516763509069,1.31801085754399,1.29141270316348,1.3180028677109,1.33311164209766,1.34568763939263,0.115000000000009,-44.09,-0.0908249434532844,34.6400000000001,0.0276767818486332,212.603345113006,0.38495970593337703,M,adolescent,n.a.,ok,ok,approx.glide,closed,2,youthclub
Ali,price,887.816,888,interview,NINETEEN,I ((feel)) like nineteen ninety something I don't know,791.7,782.17,774.49,715.05,634.25,1651.11,1669.55,1717.31,1807.86,1926.31,nt,ʔ,n,n,1.63089380204049,1.61126210072251,1.595441380248,1.47299559574214,1.30654843241655,1.31920933250857,1.33394258473977,1.3721020276119,1.44444996630687,1.53908953934298,0.183999999999969,-157.45,-0.324345369623942,275.2,0.219880206834407,320.831107275315,0.399548138922898,M,adolescent,n.a.,ok,ok,nasal,coda.nasal,2,youthclub
Ali,price,888.246,888.372,interview,NINETY,I ((feel)) like nineteen ninety something I don't know,796.34,770.34,795.32,837.8,860.84,1728.22,1769.17,1851.98,1863.95,1895.44,nt,ʔ,n,n,1.64045215399384,1.58689242322075,1.63835096455582,1.72585932468046,1.773321486104,1.38081893552093,1.41353730205388,1.47970110993163,1.48926494014896,1.51442492457198,0.125999999999976,64.5,0.132869332110157,167.22,0.133605989051052,218.155347788548,0.288329542616223,M,adolescent,n.a.,ok,ok,nasal,coda.nasal,2,youthclub
Ali,price,960.275,960.454,interview,SLIGHTLY,yeah you can slightly understand,771.01,829.4,831.42,788.44,808.23,1635.46,1611.62,1630.55,1699.15,1796.09,t,ʔ,sl,l,1.58827261628298,1.70855541166146,1.7127165907446,1.6241782357974,1.6649454308743,1.30670524371148,1.2876574816078,1.30278223566077,1.35759249070742,1.43504593275149,0.178999999999974,37.22,0.0766728145913189,160.63,0.12834068904001,261.998280999954,0.329126220209674,M,adolescent,n.a.,ok,ok,approx.glide,medial.open,2,youthclub
Ali,price,999.269,999.39,interview,MY,nah my mum does though,788.78,795.76,766.92,758.14,766.97,1158.86,1225.42,1195.17,1191.05,1151.79,m,m,m,m,1.62487863227674,1.63925735999967,1.57984725863445,1.5617605495503,1.5799502581167,0.925909798299859,0.979090127394693,0.954920882275722,0.951629071039683,0.920260986300153,0.120999999999981,-21.8099999999999,-0.044928374160039,-7.06999999999994,-0.00564881199970657,158.659150961292,0.1738724169471,M,adolescent,n.a.,ok,ok,nasal,final.open,2,youthclub
Ali,price,1173.268,1173.328,interview,MY,oh like one of my neighbours,751.45,749.1,710.97,756.84,701.71,1210.88,1138.88,1204.71,1204.49,1161.8,w,w,m,m,1.54797921882446,1.54313824315843,1.46459083799005,1.55908256301165,1.44551533387626,0.967472910071393,0.909946111771693,0.962543183050432,0.962367406722294,0.928258809230431,0.0599999999999454,-49.74,-0.102463884948205,-49.0800000000002,-0.039214100840962,263.710666956006,0.36533192651088,M,adolescent,n.a.,ok,ok,nasal,final.open,2,youthclub
Ali,price,1173.668,1173.758,interview,MY,oh like one of my neighbours,877.95,742.89,797.09,803.92,747.67,1441.2,1445.41,1551.63,1594.171,1636.25,n,n,m,m,1.80856790893198,1.53034570746224,1.64199714622768,1.65606687550384,1.54019245796591,1.15149474596565,1.15485846569957,1.23972647285782,1.27371602183653,1.30733644052616,0.0900000000001455,-130.28,-0.268375450966067,195.05,0.155841694560506,367.707865054011,0.57592717906865,M,adolescent,n.a.,ok,ok,nasal,final.open,2,youthclub
Ali,price,1245.117,1245.187,interview,HIGH,I started high school,731.81,742.5,735.47,686.74,628.6,1615.45,1660.69,1695.79,1695.7,1718.59,sk,s,h,h,1.50752102219433,1.52954231150065,1.51506058429546,1.41467728888883,1.29490949092163,1.29071758768402,1.32686359261567,1.35490790678677,1.3548359982889,1.37312472624834,0.0699999999999363,-103.21,-0.212611531272703,103.14,0.0824071385643197,193.496698154845,0.295427900973862,M,adolescent,n.a.,ok,ok,other,final.open,2,youthclub
Ali,price,1563.004,1563.088,interview,PRIME,if I'm a prime minister I will make chad illegal,794.15,772.95,720.39,687.24,671.63,1469.24,1490.11,1482.76,1514.5,1448.95,m,m,pr,p,1.63594077667103,1.59226899619451,1.48399594044707,1.41570728371139,1.38355084535108,1.17389823797015,1.19057301964396,1.18470049231754,1.21006022256799,1.15768686661597,0.08400000000006,-122.52,-0.252389931319945,-20.29,-0.0162113713541792,196.098355756923,0.289481868900603,M,adolescent,n.a.,ok,ok,approx.glide,coda.nasal,2,youthclub
Ali,price,1610.183,1610.326,interview,NIGHT,he used to eat ((it)) at the night,711.34,737.78,715.29,691.93,643.09,1623.24,1639.06,1514.83,1828.01,1900.99,t,ʔ,n,n,1.46535303415875,1.51981916037569,1.47348999325697,1.42536863514699,1.3247587408794,1.29694166766673,1.30958158362647,1.21032388706019,1.46054947999769,1.51885928194092,0.143000000000029,-68.25,-0.140594293279352,277.75,0.221917614274189,558.925512239037,0.53654766819421,M,adolescent,n.a.,ok,ok,nasal,closed,2,youthclub
Ali,price,1621.403,1621.486,interview,DAYLIGHT,you would never ever see my dad eating it in daylight it's only when it's,709.79,766.25,765.18,764.83,750.46,1665.68,1654.06,1667.2,1726.02,1772.89,t,ʔ,l,l,1.46216005020881,1.57846706557222,1.57626287665194,1.57554188027615,1.54593982907579,1.33085051933116,1.32156633327224,1.33206497396193,1.37906117223955,1.41650951996603,0.0830000000000837,40.6700000000001,0.0837797788669783,107.21,0.0856590006348723,178.671287046869,0.222141553765762,M,adolescent,n.a.,ok,ok,approx.glide,either,2,youthclub
