participant,vowel,sound_start,sound_end,task,word,utterance,F1_20,F1_35,F1_50,F1_65,F1_80,F2_20,F2_35,F2_50,F2_65,F2_80,fol.phonOLOG.seg,fol.PHONETIC.seg,prec.phonOLOG.seg,prec.PHONETIC.seg,normF1_20,normF1_35,normF1_50,normF1_65,normF1_80,normF2_20,normF2_35,normF2_50,normF2_65,normF2_80,duration,changeF1,normChangeF1,changeF2,normChangeF2,TrajLength,norm_TL,sex,age,roland.rolling,tauto.l,breaking.word,prec.seg,syl.type,outcode,CofP
Ali,face,114.964,115.054,reading,THEY,they told him go away and don't bother us again and so the wolf had a feast,422.41,397.65,429.86,376.37,419.98,1871.7,1892.98,1927.62,1925.46,1901.48,t,t,dh,d,0.870160225994597,0.819154882381458,0.885507148850732,0.775318302733332,0.865154451156959,1.49545706079927,1.51245942563007,1.54013620747871,1.53841040352972,1.51925078376268,0.0900000000000034,-2.43000000000001,-0.00500577483763853,29.78,0.0237937229634035,183.251152078393,0.327716608665805,M,adolescent,n.a.,ok,ok,coronal,final.open,2,youthclub
Ali,face,115.93,116.066,reading,AWAY,they told him go away and don't bother us again and so the wolf had a feast,539.42,509.52,438.56,481.1,455.54,1882.25,1932.21,1996.63,1994.06,2022.53,æ,ə,w,w,1.11119961436994,1.04960592398089,0.903429058763265,0.991061018266615,0.938407682937381,1.5038863347168001,1.54380354087031,1.59527404568235,1.59322065857637,1.61596771340405,0.135999999999996,-83.8799999999999,-0.172791931432558,140.28,0.112081378687248,234.941470271759,0.373383960090421,M,adolescent,n.a.,ok,ok,approx.glide,final.open,2,youthclub
Ali,face,224.938,225.022,interview,HATE,nah I hate rap,485.03,442.11,440.81,425.07,380.12,2213.46,2076.15,2232.33,2219.73,2282.8,t,ʔ,h,h,0.999156777571931,0.910742022003436,0.908064035464782,0.875639798450613,0.783043263902527,1.76851759672852,1.65880919847113,1.78359441178289,1.77352722208045,1.82391909942436,0.0840000000000032,-104.91,-0.216113513669405,69.3400000000002,0.0554015026958497,397.657922389619,0.405086508307174,M,adolescent,n.a.,ok,ok,other,closed,2,youthclub
Ali,face,230.419,230.542,interview,JAMIE,and jamie oliver,539.08,489.66,465.22,572.37,607.7,2087.25,2185.1,2218.59,2270.36,2315.63,m,m,dʒ,dʒ,1.1104992178906,1.00869452962883,0.95834838270213,1.1790762731766,1.25185570733864,1.667677913209,1.74585843006491,1.77261638110737,1.81397974705147,1.85014972148241,0.12299999999999,68.62,0.141356489448047,228.38,0.182471808273408,327.507081519384,0.49121743616161,M,adolescent,n.a.,ok,ok,coronal,medial.open,2,youthclub
Ali,face,287.774,287.894,interview,AGES,started ages ago when I ((was like)) year eight,410.06,382.11,392.34,383.66,382.78,2139.82,2187.63,2216.42,2201.95,2255.44,dʒ,dʒ,d,ʔ,0.844719353877381,0.787142643296313,0.808216337365878,0.790335627246247,0.788522836358543,1.70968046580088,1.7478798578385,1.77088258732528,1.75932129883366,1.80205891607048,0.120000000000005,-27.28,-0.0561965175188386,115.62,0.092378450269601,156.30498390658,0.164361516396954,M,adolescent,n.a.,ok,ok,coronal,medial.open,2,youthclub
Ali,face,289.081,289.211,interview,EIGHT,started ages ago when I ((was like)) year eight,477.69,502.94,479.53,428.98,436.96,2145.9,2113.65,2235.13,2343.52,2247.27,t,ʔ,square,ʔ,0.98403645357676,1.03605119211601,0.987826834523779,0.883694357963027,0.900133075331075,1.71453828432396,1.68877107258556,1.78583156505011,1.87243336599044,1.79553122243008,0.129999999999995,-40.73,-0.0839033782456854,101.37,0.0809929381061185,380.852185666284,0.380505192874212,M,adolescent,n.a.,ok,ok,vowel,closed,2,youthclub
Ali,face,291.824,291.935,interview,EIGHT,it started when I was in year eight,420.82,415.96,419.69,491.36,467.57,2174.37,2202.83,2234.23,2406.26,2305.7,t,ʔ,square,ʔ,0.866884842458859,0.856873292783582,0.864557054159875,1.01219651202553,0.963189358368159,1.73728533915164,1.76002440414621,1.78511248007136,1.92256157884216,1.84221581721691,0.11099999999999,46.75,0.0963045159093001,131.33,0.104930478065271,350.190806573985,0.346912995547555,M,adolescent,n.a.,ok,ok,vowel,closed,2,youthclub
Ali,face,435.23,435.352,interview,GAME,it's a tag game,473.72,562.46,597.69,673.8,682.36,2088.43,2359.03,2183.17,2313.1,2275.85,m,m,g,g,0.975858294685639,1.15866177579347,1.23123521099101,1.38802102288099,1.40565453424321,1.66862071351447,1.88482559712417,1.74431639227716,1.84812829370882,1.81836616542182,0.121999999999957,208.64,0.429796239557569,187.42,0.149745451907357,652.934770550074,0.663905843792434,M,adolescent,n.a.,ok,ok,velar,coda.nasal,2,youthclub
Ali,face,456.065,456.187,interview,BASICALLY,it's basically like tag,428.06,405.04,361.63,341.49,342.33,2009.32,2059.3,2063.28,2117.65,2079.69,s,s,b,b,0.881799167489518,0.834378205858885,0.744954055364282,0.703465863911591,0.705196255213491,1.60541314388267,1.64534632970238,1.64852628327506,1.69196700582443,1.66163759938753,0.122000000000014,-85.73,-0.176602912276028,70.3700000000001,0.0562244555048592,194.568219723288,0.241924297905638,M,adolescent,n.a.,ok,ok,labial,medial.open,2,youthclub
Ali,face,460.916,461.239,interview,THEY,they chase them but they can't hide for long,448.93,459.23,465.77,505.39,528.58,2004.35,2018.47,2034.65,2065.56,2035.11,tʃ,tʃ,dh,ð,0.924791151383146,0.946009044727869,0.959481377006945,1.04109816674655,1.08886932661685,1.60144219683337,1.61272384116659,1.62565139111783,1.65034796522122,1.6260189234403,0.322999999999979,79.65,0.164078175233706,30.76,0.0245767266069272,123.455435340243,0.181583234566169,M,adolescent,n.a.,ok,ok,coronal,final.open,2,youthclub
Ali,face,461.555,461.653,interview,CHASE,they chase them but they can't hide for long,450.12,482.44,430.46,402.89,470.24,2070.37,2107.38,2152.46,2170.64,2158.75,s,s,ch,tʃ,0.927242539060837,0.993821404391074,0.886743142637803,0.82994922812188,0.968689530720626,1.65419107494096,1.68376144723362,1.71977961483571,1.73430513140639,1.72480521985384,0.0980000000000132,20.12,0.0414469916597886,88.3800000000001,0.0706141449128814,219.356722835713,0.38351109721714,M,adolescent,n.a.,ok,ok,coronal,closed,2,youthclub
Ali,face,464.274,464.343,interview,SAME,so they can't hide in the same place for a long time,724.3,552.16,645.33,639.51,602.21,2319.86,2212.01,2221.45,2397.93,2094.07,m,m,s,s,1.49205049995949,1.13744388244875,1.32937311768446,1.31738397794987,1.24054636418694,1.85352942088252,1.76735907092942,1.77490147337316,1.9159060478722,1.67312697938128,0.0690000000000168,-122.09,-0.251504135772544,-225.79,-0.180402441501238,779.498686681762,0.953165181228558,M,adolescent,n.a.,ok,ok,coronal,coda.nasal,2,youthclub
Ali,face,467.212,467.306,interview,FACES,they have to show their faces quite often,410.27,447.86,405.93,418.19,407.77,2021.61,1938.13,2079.7,2169.75,2138.64,s,s,f,f,0.845151951702856,0.922586962462869,0.836211596643041,0.861467069692196,0.840001977590059,1.61523264875911,1.54853352206384,1.66164558922063,1.73359403626074,1.70873766549541,0.0939999999999941,-2.5,-0.00514997411279672,117.03,0.0935050167363034,362.891103033462,0.353614989325653,M,adolescent,n.a.,ok,ok,labial,medial.open,2,youthclub
Ali,face,598.106,598.211,interview,CAME,and I -- I came out with my dad's sliders,490.05,465.29,468.88,525.77,549.25,1914.57,1945.72,1974.28,2018.57,1864.31,m,m,k,k,1.00949792559043,0.958492581977288,0.965887944803264,1.08308075571407,1.13144931258146,1.52970947528689,1.5545978053846,1.57741676871015,1.61280373949756,1.48955257414046,0.105000000000018,59.2,0.121951386991028,-50.26,-0.0401569011464293,296.710861792397,0.335562264403503,M,adolescent,n.a.,ok,ok,velar,coda.nasal,2,youthclub
Ali,face,743.538,743.68,interview,SAME,yeah it's the same but it's a bit different some words are different,533.56,531.09,568.13,645.19,679.97,1906.69,2019.1,2168.145,2216.81,2293.32,m,m,s,s,1.09912807504954,1.0940399006261,1.1703419170813,1.32908471913415,1.40073115899137,1.52341348680631,1.61322720065171,1.73231166804864,1.77119419081607,1.8323244038426,0.141999999999939,146.41,0.301603083941832,386.63,0.30891091703629,441.20004152857,0.489006754715295,M,adolescent,n.a.,ok,ok,coronal,coda.nasal,2,youthclub
